ID,IDX,DATA_TITLE,DATA_TEXT,FILENAME,MEDIA_TYPE,MEDIA_NAME,CATEGORY,PUBDATE,PARAGRAPH_COUNT,SENTENCE_COUNT,TOKEN_COUNT
4346813,20623,"목동6단지 안전진단 통과,재건축 탄력","목동6단지가 서울 양천구 목동신시가지 2만6000여 가구 중 최초로 재건축 정밀안전진단을 조건부로 통과했다. 정밀안전진단은 재건축을 위한 첫 관문이다. 지난주 목동 재건축에서 가장 큰 걸림돌이었던 1~3단지 종상향(용적률 50% 증가) 문제도 해결돼 이 일대 재건축사업이 급물살을 탈 전망이다. 다만 이번 안전진단이 조건부 통과이고 향후 정비구역 지정, 조합 설립 및 각종 인가 등 숱한 단계가 남아 있어 본격적으로 재건축이 추진되기까지 상당한 시일이 소요될 전망이다. 

31일 양천구청은 목동신시가지6단지 재건축을 위한 정밀안전진단 결과가 'D등급'이라고 목동6단지 재건축추진준비위원회에 통보했다. 재건축 안전진단의 경우 A~C등급은 유지·보수(재건축 불가), D등급은 조건부 재건축(공공기관 검증 필요), E등급은 재건축 확정 판정으로 분류된다. 목동6단지는 D등급을 받은 만큼 향후 6개월간 국토교통부 산하 한국시설안전공단의 적정성 검토를 거쳐 최종 안전진단 결과를 통보받는다. 

이번에 목동6단지는 종합평가 결과 51.22점을 받아 조건부 재건축 점수 기준(30점 초과~55점 이하)을 충족했다. 지난해 10월 안전진단을 통과하지 못한 송파구 방이동 올림픽선수촌아파트(이하 올선)는 58.61점으로 재건축 불가 판정을 받았는데 이와 비교해보면 7점 넘게 낮은 점수를 받았다. 

두 아파트 단지를 비교해 보면 목동6단지는 항목 4개 중 2개(주거 환경·비용 분석)에선 올선에 비해 점수가 높았지만, 나머지 2개 항목(건축 마감 및 설비노후도·구조안전성)은 점수가 낮았다. 다시 말해 목동은 주거 환경은 올선에 비해 좋지만 노후화돼 있고 구조적으로 안전하지 않다는 것이다. 신종섭 목동6단지 재건축추진준비위원장은 ""목동의 경우 아파트 아래에 철근 기둥만 박고, 철근 기둥을 받치는 지지대가 없어 지진이 멀리서 나면 사람들이 흔들림을 느낄 정도""라고 설명했다. 다만 이와 관련해 '2년 더 먼저 지어진' 목동6단지가 정밀안전진단 중 가장 가중치(50%)가 높은 구조안전성 분야에서 올선보다 20점 넘게 낮은 점수(목동6단지 60.68점·올선 81.91점)를 받은 것을 두고 향후 논란의 가능성이 제기된다. 올선 재건축모임은 지난해 10월 통보된 안전진단 결과에 대해 강한 불신을 드러내고 있다. 

이날 목동6단지가 정밀안전진단을 조건부로 통과하면서 목동 일대는 재건축 추진 기대감으로 들썩이는 분위기다. 특히 지난주 목동1~3단지 주민들의 숙원인 종상향(2종→3종·재건축 시 5100여 가구를 더 지을 수 있게 됨)이 서울시 심의를 통과해 사업성도 좋아졌다. 다만 공공기관의 적정성 검토가 남아 있다. 결과는 6개월 후에 나온다. 앞서 구로구 오류동 동부그린은 적정성 검토에서 1차 때 D등급을 받았는데 C등급으로 수정된 바 있다. 

아울러 특별계획구역 지정도 문제다. 1~3단지는 특별계획구역에 잠정적으로 지정됐지만, 아직 4~14단지는 지정되지 못하고 있다. 특별계획구역이란 대규모 개발사업에 대해 서울시가 건축물 위치 등에 대한 세세한 지침을 주는 대신 종상향과 같은 혜택을 보는 지역이다. 서울시 관계자는 ""부동산 시장 과열 여부 등을 면밀히 살펴보면서 전체 목동 단지에 대한 특별계획구역 지정을 검토할 것""이라며 시기를 조율할 것임을 시사했다.",output_2_R_4346813.csv,뉴스,매일경제,100603,20191231,6,23,346
4498984,18356,입주직전 조합원에…`무더기 부적격` 통보 논란,"서해 오션뷰'를 자랑하는 3000가구 규모 송도 지역주택조합 아파트에서 입주를 2개월 앞두고 조합원 200여 명이 '부적격' 통보를 받아 파장이 일고 있다. 지역주택조합은 주택법상 법이 정한 '조합원 지위 자격'을 유지해야 하는데, 조합 심사에서 부적격자가 무더기로 발생했다. 

통보받은 조합원 소명이 받아들여지지 않는다면 '자격 박탈' 물량은 일반분양으로 나온다. 내 집 마련 꿈을 안고 이사를 준비하던 조합원들은 ""4년간 중도금까지 다 납부했는데 이게 무슨 날벼락이냐""며 ""계약할 때는 '문제없다'고 해놓고 이제 와서 나가라고 한다""면서 분통을 터뜨리고 있다. 

24일 인천경제자유구역청과 부동산 업계에 따르면 송도 더샵 마리나베이 조합 '센토피아송도랜드마크시티 지역주택조합'은 최근 입주 사용검사를 앞두고 실시한 조합원 자격 심사에서 조합원 250여 명에게 '부적격'을 통보하며 소명자료를 제출하라고 안내했다. 인천경제청은 소명자료까지 검토한 뒤 최종 심사를 거쳐 조합원 지위를 판정한다. 인천경제청 관계자는 ""아직 소명자료를 조합에서 받지 못했다. 만약 조합원 취소 물량이 30가구 이상이면 일반분양을 하게 될 것""이라고 말했다. 

지역주택조합은 주택법상 조합원 자격을 잃는 순간 조합원 지위가 자동 상실돼 입주 등이 불가능하다. 조합 설립 인가일을 기준으로 해당 지역에 6개월 이상 거주해야 하고 85㎡ 이하 1주택 혹은 무주택자여야 하며 조합 설립 후 입주 시까지 가구주를 유지해야 한다. 

해당 지자체는 이러한 자격이 맞는지를 조합 설립 인가 시, 사업계획 승인 시, 사용검사 시 등 총 3회 심사를 통해 확인한다. 조합이 주택전산망 검색, 서류 확인 등으로 조합원 자격을 심사하고 지자체가 부적격자 소명까지 종합해서 최종 자격을 판단한다. 이번에 '부적격' 통보를 받은 사람들은 사용검사일 전 조합원 지위 심사에서 확인됐다. 

송도 마리나베이는 총 3100가구 규모로 이 중 조합원 물량은 2214가구다. 부적격 통보를 받은 가구는 약 250개로 조합원 물량 중 11%에 해당한다. 대부분 사유는 부주의로 인한 가구주 지위 상실, 과거 당첨 이력 및 주택 소유 문제인 것으로 알려졌다. 형제의 부탁으로 주소를 전입시켜줬다가 가구주에서 가구원으로 바뀐 경우, 청약에 당첨됐지만 계약하지 않아 '무주택'으로 알았던 경우, 미분양 분양권은 주택이 아니라고 해서 계약한 경우 등이다. 한 조합원은 ""중도금을 내기 위해 전세금을 빼서 친척 집으로 이사 갔다가 가구주 지위가 바뀐지 몰랐고, 생계가 너무 급해 가구주 여부를 챙길 수 없었다""면서 ""무주택 서민을 위한 법이 내 집 마련의 꿈을 앗아갔다""고 말했다. 

김주영 리더스 변호사는 ""지역주택조합은 처음에 가입자를 모아야 하기 때문에 계약자를 받을 때도 까다로운 법을 꼼꼼히 설명하지 않는 경우가 많다""며 ""수년의 세월이 흐르는 동안 자격 요건을 잃는 경우도 많아서 조합·지자체가 꾸준히 안내해야 선의의 피해자가 발생하지 않는다""고 말했다. 

송도 마리나베이 한 조합원은 ""그동안 여러 차레에 걸쳐 조합원 자격 조회 검사가 있었다는데 그때는 부적격 통보를 받지 못했다가 입주를 앞두고 이제서야 부적격자라고 한다""면서 ""부주의한 내 잘못이라고 하기 전에, 정부와 조합 어느 누구도 법을 가르쳐주지 않았다""고 억울해했다. 

인천 연수구 송도동 308-1에 위치한 이 아파트는 서해바다 조망권으로 유명하다. 84㎡는 5억원, 124㎡는 7억원을 호가한다. 부동산 업계 관계자는 ""프리미엄이 3억~4억원이며 바다 조망권은 부르는 게 값이다. 조합원 자격 심사로 인해 조합원 매물 거래가 중지된 상태기 때문에 나중에 일반분양이 나오면 경쟁률이 높을 것""이라고 말했다.",output_2_R_4498984.csv,뉴스,매일경제,100601,20200525,9,24,416
4521888,17970,목동6단지 안전진단 최종 통과…재건축 본격화,"1986년생 목동6단지 아파트가 지어진지 35년 만에 재건축 첫 관문인 정밀안전진단을 최종적으로 통과했다. 총 2만6629가구가 있는 목동 신시가지아파트 1~14단지 중엔 최초다. 나머지 목동 단지들도 안전진단 절차를 진행하고 있어 목동 일대 전체가 재건축 기대감에 들썩일 전망이다. 가뜩이나 반등에 성공한 서울 아파트 가격도 목동발 재건축으로 인해 상승세를 탈 전망이다. 

12일 양천구청에 따르면 목동6단지는 한국시설안전공단 적정성 검토에서 D등급(조건부 재건축)을 받아 최종적으로 정밀안전진단을 통과했다. 정밀안전진단은 총 A~E등급이 있는데 D등급 이하를 받으면 '건물 구조가 안전하지 못하다'는 것이 인증돼 재건축을 할 수 있게 된다. 사실상 첫 관문을 통과한 것이다. 

앞서 마포구 성산시영 아파트가 최종적으로 정밀안전진단에 통과하면서 목동 6단지도 무난히 통과가 예상됐었다. 성산시영에 비해 목동6단지의 1차 안전진단 점수가 더 낮았기 때문이다. 최종 점수가 55점 이하여야 안전진단을 통과하게 된다. 

목동6단지가 맞형 역할을 하며 안전진단을 통과하자, 나머지 13개 단지들도 덩달아 재건축에 나설 예정이다. 현재 5, 9단지는 정밀안전진단을 조건부로 통과해 6단지가 했던 것처럼 적정성 검토에 들어간다. 나머지 단지들은 정밀안전진단 용역을 진행하거나 진행을 앞두고 있다. 8단지만 유일하게 정밀안전진단을 스스로 취소했어서 재건축 진행이 상대적으로 더딜 전망이다. 

목동 재건축이 마무리되면 이 일대는 천지개벽하게 된다. 지난 2018년 수립된 '서울 목동지구 택지개발사업 지구단위계획'에 따르면 목동 1~14단지 재건축이 완료되면 가구는 현재의 2배가량인 5만3375가구로 늘어난다. 덩달아 인구도 현재(약 12만 명)보다 3만여 명이 증가한다. 녹지공간 역시 기존보다 21.7% 늘어나며 경의선 숲길과 같은 공원이 만들어진다. 학생 수 증가를 고려해 학교도 2개 더 늘어난다. 목동일대 일방향 교통 체제는 그대로 유지된다. 양방향으로 바꿀 경우 되려 교차로가 늘어나면서 교통체증이 심해질 수 있다는 우려에서다. 다만 도로는 넓혀질 가능성이 높다. 

목동 재건축 기대감이 올라가면서 반등에 성공한 서울 집값도 자극할 전망이다. 이번에 통과한 목동6단지만 해도 벌써 전용 95㎡(35평) 매물 평균이 18억원을 넘었다. 지난해 말 15억9500만원이었던 것을 감안하면 2억원 가까이 오른 것이다. 이밖에도 잠실 스포츠·마이스(MICE) 사업도 지난주 확정되면서 잠실·삼성 일대 아파트 호가가 1억원 이상 뛰기도 했다. 

한국감정원에 따르면, 6월 둘째주(6월 8일 기준) 서울 아파트 매매가는 0.02% 상승해 지난 3월 마지막주 이후 10주 만에 상승세로 전환했다. 심교언 건국대 교수는 ""목동을 포함한 서울 서부권 일대 집값이 단기적으로 상승할 것으로 보인다""이라고 내다봤다.",output_2_R_4521888.csv,뉴스,매일경제,100603,20200612,7,28,302
4525674,17902,[매부리TV] 안전진단 통과…목동 6단지 `3세권`의 비밀?,"""12일에 안전진단을 최종 통과했다는 소식이 들린 후 매물이 싹 들어갔어요. 13일에 목동 부동산들이 휴무라 문을 닫았는데도 전화가 물밀듯이 왔어요.""
1986년생 목동6단지 아파트가 지어진 지 34년 만에 재건축 첫 관문인 정밀안전진단을 최종 통과했다. 모두 2만6629가구가 있는 목동 신시가지아파트 1~14단지 중 처음이다. 지난 15일 기자가 직접 방문한 목동6단지는 겉으로 보기엔 고즈넉한 분위기였다. 하지만 재건축의 큰 관문 하나를 넘었다는 기대감과 물밑에서 움직이는 투자자들로 활기가 가득했다. 

목동6단지는 용적률이 139%로 목동 14개 단지 중에선 개발에 유리한 편은 아니다. 그러나 이번에 안전진단을 최종 통과하며 '속도'라는 재건축에서 가장 큰 무기를 얻게 되었다. 6단지의 장점은 그뿐만이 아니다. 이대목동병원과 경인초등학교, 양정중·고등학교가 붙어 있고, 일부 가구는 재건축이 된다면 설계에 따라 안양천 조망도 가능한 희소한 입지다. 재건축 외에도 학세권·강세권·병세권 등이 가능한 '3세권'이라 실거주 가치도 강하다. 목동 학원가와 가까운 것도 장점이다. 

그러나 주민들은 축제 분위기를 애써 억누르고 있다. 주변 중개업소들은 ""들썩거리지 말고 조용히 실리를 찾자는 공감대가 주민들 간에 있다""고 말한다. 현 정부의 부동산 규제가 워낙 강하니 사업을 조용히 진행하며 굳이 규제의 칼날을 맞지 말자는 뜻이다. 

목동6단지가 목동 단지 중 처음으로 안전진단을 통과하면서 나머지 13개 단지들도 기대감이 높아졌다. 목동 1~14단지는 1985년 11월부터 1988년 10월까지 순차적으로 입주한 데다 비슷한 공법으로 지어져 이번 6단지 안전진단이 목동 전체 재건축의 '바로미터'라는 평가를 받고 있다.",output_2_R_4525674.csv,뉴스,매일경제,100606,20200617,4,17,187
4654768,15454,"울산시, 대형건설공사 불공정 하도급 실태조사 실시","울산시는 오는 19일부터 11월 20일까지 대형건설공사 현장에 대한 지역건설업체의 하도급 실태조사에 나선다고 16일 밝혔다. 

이번 조사는 대형건설공사 현장의 지역건설업체에 대한 하도급 실태 파악과 불공정 하도급 부조리 예방을 위해 실시한다. 

점검 대상은 10억원 이상 공공공사, 100가구 이상 공동주택, 연면적 1만㎡ 이상 건축물 등 총 101개 현장 중 공정률이 낮고, 지역 하도급율 향상이 가능한 22개 사업장이다. 

시 공무원과 전문건설협회·기계설비건설협회 관계자 등 6명으로 구성된 점검반은 지역건설업체 하도급참여 실태 및 하도급율 분석 하도급 대금 지급보증서 교부 여부 하도급계약사항 통보 적정 여부 기타 건설산업기본법 등을 집중 점검할 예정이다. 

시는 위반사항이 발견된 경우 경미한 사항은 현지 시정 조치하고, 위법·부당한 행위는 관련 법령에 따라 행정 조치할 방치이다. 

시 관계자는 ""지역 업체 하도급률이 2분기 25.86%에서 3분기 25.95%로 0.09% 향상돼 약 289억원의 경제적 효과를 거뒀다""면서 ""앞으로도 지역건설산업 활성화를 위해 지속적으로 하도급을 독려하고 현장의 모범 사례를 파악해 전 사업장으로 전파해 나가겠다""고 말했다.",output_2_R_4654768.csv,뉴스,매일경제,100607,20201016,6,6,132
4700889,14547,[단독] 목동 옆 대단지 신월시영 1차 안전진단 통과,"서울 양천구 2256가구 대규모 단지인 신월시영아파트가 1차 정밀안전진단을 조건부로 통과했다. 같은 시기 지어진 목동신시가지아파트 안에서도 재건축 안전진단 결과가 엇갈리는 가운데 목동 옆 신월동에서 유일하게 재건축이 추진되고 있는 신월시영 향방에 관심이 쏠린다. 

27일 서울 양천구에 따르면 신월시영아파트는 1차 정밀안전진단 결과 49.89점으로 D등급을 받았다. 

재건축 안전진단은 점수(100점 만점)에 따라 결과가 나뉘는데 D등급(31~55점)을 받으면 공공기관(한국건설기술연구원·시설안전공단)의 적정성 검토를 거쳐야 한다. 점수가 낮을수록 재건축 필요성이 높다는 뜻이다. 

신월시영아파트는 1988년 지어진 33년 차 2256가구 대규모 아파트다. 정비업계에서는 낮은 용적률 덕분에 사업성이 있는 곳으로 여겨진다. 

신월시영이 1차 안전진단 결과 50점 미만 점수를 받으면서 안전진단 최종 통과 가시권에 안착했다는 평가가 나온다. 이는 지난 6월 적정성 검토 단계를 넘긴 목동6단지가 1차 안전진단에서 51.22점을 받았기 때문이다. 목동6단지는 적정성 검토에서 54.58점을 받으며 안전진단 단계를 최종 통과했다. 

그러나 목동6단지는 6·17 재건축 안전진단 규제 이전에 나온 결과라 신월시영이 2차 적정성 검토 결과도 최종 통과할 것으로 예단하기는 이르다는 지적도 나온다. 국토교통부는 6·17 대책을 발표하면서 1차 안전진단기관 선정 주체를 자치구에서 시도로 변경하고 부실 안전진단기관에 최대 2000만원 과태료 부과, 2차 안전진단 현장조사 의무화 등 재건축 기준 강화에 나섰다. 

실제로 목동9단지의 경우 6월 1차 안전진단에서 54.58점으로 D등급을 받았지만 9월 적정성 검토 단계에서 58점을 받으며 안전진단 문턱을 넘지 못했다. 목동6단지와 목동9단지는 입주 시기가 각각 1986년, 1987년으로 차이가 8개월에 불과하다. 

목동신시가지아파트 각 단지는 각각 안전진단 성적표를 받아들고 앞으로의 계획을 준비하는 모양새다. 현재 목동6단지는 정비계획 수립 준비를, 목동7단지는 내년께 2차 적정성 검토를 진행할 전망이다. 목동5·11·13단지는 1차 정밀안전진단을 통과해 현재 공공기관 적정성 검토 결과를 기다리고 있다.",output_2_R_4700889.csv,뉴스,매일경제,100603,20201128,8,17,225
4717432,14255,[단독] `난쟁이 서울` 만드는 세운지구 높이 규제,"서울시가 세운재정비촉진지구 내 해제지역을 7층(30m) 이하로 제한해 관리하겠다는 방침을 세워 시대에 역행한다는 논란이 일고 있다. 30m 높이 제한 자체가 도심 개발 트렌드에 역행하는 데다, 과거 서울주택도시공사(SH공사)가 시행을 맡은 세운4구역이 종묘를 가린다는 이유로 건물 높이를 70m로 낮췄던 사례와 비교해도 형평에 맞지 않는다는 지적이다. 

13일 매일경제가 입수한 자료에 따르면 서울시는 세운재정비촉진지구 존치관리구역(해제지역)에 대한 지구단위계획을 수립하는 경우 큰 도로와 접하는 땅(간선부)은 7층(30m) 이하로, 보도와 차도 구분이 없는 이면부는 5층(20m) 이하로 하는 높이 제한 계획을 세웠다. 

현재까지 세운지구 내에 적용된 고도 제한은 70m 수준으로 세운4구역이 그 대상지다. 세운4구역은 2009년 최고 36층, 높이 122.3m 복합건물을 짓겠다는 계획안을 세워 서울시 심의까지 통과했으나 문화재청 심의에 막혀 장기간 표류했다. 세운4구역 북측에 위치한 종묘가 세계문화유산인 만큼 종묘 문화경관을 고려해 높이를 낮추라는 것이었다. 결국 건물 높이는 5년간 심의를 거쳐 72m까지 대폭 낮아졌다. 

서울시 높이 제한 계획을 접한 세운2구역 관계자는 사실상 재산권 침해라고 주장했다. 세운2구역은 세운4구역과 세운상가를 사이에 두고 마주하는 곳으로 이번 서울시 높이 제한 계획 대상에 포함되기 때문이다. 이광익 세운2구역 개발위원장(57)은 ""종묘 바로 아래에 있는 세운4구역도 70m까지 짓는데 어떻게 세운2구역이 그보다 강하게 높이 제한을 받느냐""고 했다. 

높이 제한은 사실상 용적률 제한으로 이어져 서울시가 세운 개발사업 추진을 어렵게 만들 것이란 비판이 나온다. 실제로 세운2구역은 서울시 도시계획조례상 일반상업지역으로 용적률 상한선 800%를 적용받는 곳이다. 7층 제한은 일반적으로 저층 아파트가 들어선 2종 일반주거지역에 적용하는데 이 경우 용적률 상한선은 200%여서 이론적으로는 같은 건물을 짓더라도 높이 차이는 4배까지 나게 된다. 

보존형 개발의 의미를 기계적인 층수 제한으로 접근한다는 지적도 계속 나온다. 지난 2일 서울시 도시계획위원회는 `을지로2가 도시정비형 재개발구역 1·3·6·18지구` 에 보존형 개발을 적용하는 동시에 기존 67m 건물을 89.9m 건물로 더 높게 짓는 정비계획을 승인했다. 보존형 개발을 추진하는 영등포 대선제분 역시 기존 구조물(사일로)을 살린 채 고밀개발을 추진하는 사례 중 하나다. 

서울시는 분할된 세운2구역 35개소 통개발 역시 불가하다는 입장인데 이 또한 을지로2가 사례와 상충한다. 을지로2가 1·3·6·18지구는 분할된 획지를 통합하는 동시에 금융사박물관, 유구전시관 등 도심 역사문화 자원을 보존하는 공간을 마련했다. 한용운의 `님의 침묵`, 이광수의 `무정` 등을 발간한 한국 근대기 서점 중 하나인 회동서관 문화관도 조성해 보존형 개발계획을 거시적으로 짰다. 

서울시 관계자는 ""높이 제한은 아직 확정된 사안이 아니다""며 ""해제지역 높이 규제는 전문가 논의에서 거론된 안 중 하나일 뿐""이라고 해명했다. 

전문가들은 획일적 규제에서 벗어나야 한다고 조언한다. 이창무 한양대 도시공학과 교수는 ""높이 제한이 미관상 문제 때문이라면 부채꼴 형태 건물 등 다른 해결 방안을 제시하는 것이 맞는다""고 했다.",output_2_R_4717432.csv,뉴스,매일경제,100606,20201214,9,22,354
4720367,14199,강남·송파·용산 고가주택 계약서 이상거래 577건…편법증여·허위기재 등 적발,"20대 A씨는 18억원 상당의 아파트를 매수하면서 약 9억원을 저축성 보험계약 해지금으로 조달했다고 소명했다. 하지만 보험금 납부내역을 보니 2010년 12월 8억원, 2012년 12월 3억원이 일시금으로 납부된 것이 포착됐다. 당시 A씨는 미성년자였다. 결국 당국은 A씨 부모가 주택구입의 원천이 된 자녀 보험금을 편법증여한 것으로 의심해 국세청에 통보했고 탈세혐의를 확인했다. 

국토부는 전국 9억원 이상 고가 주택 거래에 대한 실거래 조사를 통해 총 577건에 달하는 이상거래를 적발했다고 16일 밝혔다. 친족간 편법증여 등 탈세 의심 109건, 계약일 허위신고 등 거래신고법 위반 76건이 대표적인 이상거래다. 특히 조사가 주로 이루어진 강남 송파 용산권역 총 3128 거래 중 편법증여 등 탈세 의심 거래가 94건으로 3.0%를 차지했다. 이는 광명 구리 김포시 및 수원 팔달구의 탈세 의심거래율(전체의 0.34%)보다 현저히 높은 수치다. 

이번엔 사업자 대출을 받아 주택을 구입한 사업인도 적발됐다. 

소매업 종사자 40대 C는 8억원 상당 아파트를 매수하면서, 은행에서 중소기업 운전자금 용도로 3억원을 대출받아 이 중 2억원을 매수대금에 사용했다. 당국은 사업자대출 용도외 유용 의심으로 해당 건을 금융위·금감원에 통보했고 결국 대출금 회수 등의 조치를 취했다. 

한편 국토교통부 부동산시장불법행위대응반은 지난 2월 출범 이후 부동산시장 범죄수사를 통해 총 47건(61명)을 형사입건하고 이 중 수사가 마무리된 27건(27명)을 검찰에 송치했다고 밝혔다. 

형사입건한 47건을 유형별로 살펴보면, 위장전입을 하거나 특별공급 제도를 부당하게 이용해 아파트를 부정당첨 받은 행위가 17건(20명)으로 가장 많았다. 특정 공인중개사들이 단체를 구성하고 비회원 공인중개사와의 공동중개를 거부한 행위 12건(24명), 현수막 또는 인터넷 카페 글 게시를 통해 집값담합을 유도한 행위가 14건(12명), 공인중개사가 아닌 자가 부동산을 중개하거나 표시 광고한 행위 4건(5명)으로 파악됐다.",output_2_R_4720367.csv,뉴스,매일경제,100606,20201216,6,14,221
5114991,7276,아파트 오피스텔 규제에 투자수요 주춤…비규제 비주택 상품 반사이익,"부동산 관망세가 짙어지고 있다. 그동안 부동산 투자는 아파트에 집중되는 모습을 보였지만, 국민평형인 전용 84㎡의 경우 주요 지역에서 청약 가점제가 적용돼 가점이 낮은 수요자들에겐 그림의 떡이기 때문이다. 아파트의 대체재로 불리는 오피스텔도 100실 미만이어야만 전매가 가능하다. 

16일 주택 업계에 따르면, 지난해 서울 아파트 청약 당첨 최저 가점 평균은 60점에 달했다. 무주택 기간 15년 이상(32점), 부양가족 6명 이상(35점), 청약통장 가입 기간 15년 이상(17점)을 더해 총 84점인 청약 가점 만점과 비교하면, 그렇게 낮지 않은 점수다. 

공급을 마친 아파트를 노리기도 마땅하지 않다. 작년 7월을 기점으로 서울 아파트의 중위매매가격(가격순대로 나열시 중간값)은 9억원을 넘었기 때문이다. 수도권은 1월 기준 6억3300만원이다. 

오피스텔도 100실 미만에 한해서만 분양권 전매가 가능하다. 업무용은 주택 수에 포함되지 않지만, 주거용은 주택으로 간주된다. 부동산 투자에 있어 필수 요건인 주택 수에 걸림돌이 생기는 셈이다. 

부동산 전문가들은 부동산 투자에 앞서 상품별 장단점을 파악해야 실패를 줄일 수 있다고 입은 모은다. 리얼투데이 관계자는 ""아파트나 오피스텔 등 천편일률적인 부동산 상품의 투자는 남들과 비슷한 소득 수준을 얻게 만들 뿐이고, 앞서 가기 위한 선택지는 아니다""라며 ""초기 자본금이 얼마나 낮고, 규제 영향이 적은 지에 따라 성패가 갈리게 될 것으로 보인다""고 말했다. 

이런 가운데 생활숙박시설이 투자자들에게 관심을 받고 있다. 아파트와 달리 분양을 받은 사람의 선택에 따라 주거용 오피스텔처럼 장기 임대 계약을 맺어 월세를 받거나 호텔·콘도처럼 숙박시설로 운용해 수익을 낼 수 있어서다. 여기에 아파트처럼 개별 등기를 할 수 있고 오피스텔을 주거용으로 사용할 경우 주택 수에 포함이 되는 것과 달리 주택 수에 포함되지 않는다. 분양권 전매 제한도 없다. 

현대엔지니어링은 경남 창원시 상남동 일원에서 생활숙박시설 `힐스테이트 창원 센트럴`을 공급 중이다. 이 사업장은 비규제, 비주택 상품으로 취득세 중과 및 보유세 부담이 없다. DSR(총부채원리금상환비율) 규제 적용도 받지 않는다. 계약자에게는 중도금 무이자(50%) 대출 혜택도 제공한다. 

단지는 지하 6층~지상 46층, 2개동 규모로 조성되며, 생활형숙박시설 전용 88·102㎡ 296실과 상업시설인 `힐스 에비뉴 Tier.1` 86실로 구성된다. 특히 창원시 도시계획조례(제1414호)에 따라 중심상업지역에 들어설 수 있는 마지막 시설(오피스텔·숙박시설·공동주택 불가능)로 희소가치도 높다는게 분양 관계자의 설명이다. 

단지에는 창원시 최초로 인피니티 풀이 조성된다. 최상층 44~46층에는 스카이라운지도 마련된다. 호텔 컨시어지 서비스와 조식, 발레파킹(주차), 세탁·세차 등의 서비스가 제공되며 피트니스센터, 골프 연습장 등 입주민시설도 갖춰질 예정이다. 상업시설 `힐스 에비뉴 Tier.1`에도 100% 자주식 주차공간과 발레파킹 서비스가 도입된다. 생활숙박시설 운영은 에어비앤비, 한화호텔앤드리조트 등 대형 숙박시설과 전략적 제휴를 체결한 핸디즈가 맡는다.",output_2_R_5114991.csv,뉴스,매일경제,100604,20220316,9,28,335
5115309,7268,"`역세권 청년주택`…롯데건설, 용산 원효 루미니 선착순 계약 진행","롯데건설은 역세권 청년주택 `용산 원효 루미니`의 잔여물량에 대해 선착순 계약을 진행한다고 16일 밝혔다. 

서울시 용산구 일대에 들어서는 이 단지는 지하 6층~지상 29층 청년주택 752가구와 근린생활시설 지상 1~2층 20실 규모로 조성된다. 특히 청년주택의 경우 주요 임차연령인 20~30세대에게 걸맞는 주거 서비스와 설계 등을 갖출 예정이다. 

지하철 1호선 남영역을 걸어서 이용할 수 있고 지하철 4·6호선 삼각지역와 지하철 6호선 효창공원역, 지하철 4호선 숙대입구역도 가깝다. 또 사업지 약 1km거리에 있는 용산역과 서울역 내 쇼핑·문화·편의시설을 편하게 이용할 수 있고 숙명여자 대학교도 도보통학이 가능하다. 효창공원과 용산전쟁기념관, 한강도 인접해 정주여건이 쾌적하다. 

해당 단지는 총 752가구 중 민간공급 물량인 465가구도 공급한다. 전용면적별 가구수는 전용 15㎡A 14가구·15㎡B 2가구·33㎡ 188가구·43㎡A 216가구·43㎡B 45가구 총 5개 타입이다. 복층설계(전용 15㎡A·B)와 셰어하우스 등 소형주택에 맞춘 특화설계가 적용됐으며, 임대료는 주변 시세 대비 경쟁력을 갖춘 금액에 책정됐다. 

단지 내 특화시설들이 대거 도입된다. 지상 3층에는 입주민들의 휴식을 위한 공간이 들어서며, 최상층에 설계된 스카이브릿지 라운지를 통해 남산 야경을 즐길 수 있다. 스카이브릿지 공간에는 도서관, 코인세탁실 등 편의시설이 마련될 예정이다. 단지 내 커뮤니티 시설로는 헬스장, GX룸, 어린이집이 등이 있다. 

근린생활시설은 단지 내 752가구의 독점배후수요를 갖추고 있고, 인근의 용산경찰서, 숙명여대 등의 직장인과 대학생도 배후수요도 흡수할 수 있다. 일반적인 단지 내 근린생활시설과 달리 1·2인 가구의 감성과 트렌드를 적극 반영한 외관설계와 MD구성을 갖출 예정이다.",output_2_R_5115309.csv,뉴스,매일경제,100604,20220316,6,15,191
