ID,IDX,DATA_TITLE,DATA_TEXT,FILENAME,MEDIA_TYPE,MEDIA_NAME,CATEGORY,PUBDATE,PARAGRAPH_COUNT,SENTENCE_COUNT,TOKEN_COUNT
1640987,29567,[기자 24시] 美 `데이터 브리치`의 교훈,"우리뿐 아니라 미국에서도 카드정보가 대량 유출되는 사태(data breach)가 발생했다. 

대형 저가유통점인 타깃(Target)의 고객정보가 무더기로 새나갔고, 타깃과 제휴된 씨티은행 카드와 JP모건체이스은행 카드도 같이 피해를 봤다. 미국과 캐나다에 1921곳의 점포를 갖고 연간 730억달러의 매출을 올리는 타깃 사태의 파괴력은 컸다. 정보유출 피해자가 1억1000만명에 달한다. 고급백화점 니먼마커스(Neiman Marcus)도 해킹으로 고객 신용카드와 체크카드의 정보 유출로 곤욕을 치르고 있다. 우리와 다른 점은 내부 직원 소행이 아니라 러시아 출신 10대 청소년이 만든 악성 프로그램 탓이었다. 

해당 카드사나 감독당국에 엄정하게 책임을 묻고 피해 대책을 서둘러 소비자의 불안감을 불식시켜야겠다. 

하지만 문제는 정보 유출이 여러 가지 요인으로 재발될 수 있다는 점이다. 

미국처럼 외부 해킹이나 악의적 정보 유출 시도가 발생할 수 있고 소비자들의 해이한 보안의식이 피해를 자초할 수도 있다. 이 기회에 소비자 보안의식도 점검할 필요가 있다. 

정보 유출 가능성에 대비해 자신의 피해를 줄일 수 있도록 관행적인 카드사용 습관을 돌아보고 문제점을 개선해야 한다. 

사실 소비자들의 일반적인 보안의식도 꽤나 문제가 있어 보인다. 카드에 서명도 안 한 채 사용하는 사람들이 너무 많고, 타인에게 카드결제를 맡기는 사례도 허다하다. 외국처럼 카드 사용 때 신분증을 제시하거나 요구하는 경우는 거의 없다. 자기 카드정보를 스스로 관리한다는 의식도 약하다. 

국내 소비자들의 인터넷 쇼핑과 모바일 쇼핑 의존도가 너무 높다는 점도 지적하지 않을 수 없다. '엄지족(모바일쇼핑객)'이 지난해 상반기 월평균 1500만명을 넘어섰고 올해 모바일 쇼핑 시장 규모가 10조원에 달할 전망이다. 카드정보 유출 피해 가능성도 높아지고 있는 셈이다. 편리함만 추구할 게 아니라 이용자 스스로 '안전'도 챙겨야 한다.",output_2_O_1640987.csv,뉴스,매일경제,101304,20140124,8,19,213
1640988,29566,[매경의 창] 고령화시대의 빗나간 예측들,"2008년 국제 금융위기와 더불어 우리나라 부동산 시장이 침체되자 부동산 시장이 통상적인 경기변동을 겪는 것인지 아니면 구조적이고 장기적인 대세 하락에 접어든 것인지에 대해 열띤 논쟁이 벌어졌다. 

대세 하락을 주장하는 사람들의 논거 중 하나는 베이비부머들이 은퇴하면서 쓸 돈이 부족해져서 주택을 처분하지 않을 수 없고, 이를 대신할 수요가 없으므로 장기적인 주택 가격 하락이 불가피하다는 이야기였다. 

이 논리는 이미 1963년도에 경제학자 안도와 모딜리아니가 생애주기가설에서 제시한 바 있다. 소득이 많은 청장년기에 부동산을 포함한 자산을 축적하고, 은퇴 이후에 이 자산을 처분하여 줄어든 소득을 보전하며 소비 수준을 유지한다는 것이다. 이후 고령화에 따른 주택 가격 하락을 예측하려는 시도들이 뒤따랐으나 성공보다는 실패가 두드러졌다. 

대표적으로 맨큐-와일의 1989년 논문은 베이비붐 세대가 고령화되면서 주택 수요가 줄어 1987~2007년 기간 중 주택의 실질가격이 연간 3%씩 하락한다고 예측했다. 이 예측은 20년 동안 주택의 실질가격이 절반 수준으로 떨어지는 가격 붕괴를 의미하므로 큰 반향을 일으켰다. 그러나 이 기간 중 주택 실질가격은 연간 3.5% 정도 상승하였다. 예측이 크게 빗나간 것이다. 

최근의 연구는 보다 가벼운 충격을 예상한다. 국제결제은행의 타카스 박사가 2012년 발표한 논문은 22개 선진국의 1970~2009년 자료를 분석하고 인구 변화가 주택 가격에 미치는 영향을 예측하였다. 결론은 평균적으로 향후 40년간 연간 0.8% 정도의 가격 하락 효과가 있다는 것이다. 고령화가 보다 빠르게 진행되면 그 효과가 크겠지만, 소득 증가 등의 다른 요인들이 상쇄할 수 없을 정도는 아니다. 

왜 고령화가 많은 사람들이 걱정하는 만큼의 가격 하락 효과를 가지지 못할까. 고령층의 주거 행태가 생애주기가설의 예측과 다르기 때문이다. 은퇴 후 소득이 줄어도 집의 규모를 줄이거나 자가에서 임차로 바꾸어 이사 가는 소위 다운사이징이 쉽게 일어나지 않는다. 

우리나라에서도 지난해 미래에셋은퇴연구소가 발표한 설문조사 결과를 보면 60대 은퇴자 1002명 중 56.6%가 이주 경험이 없고 거주지를 옮길 계획도 없었다. 이주한 사람 중에서도 노후자금 확보 목적은 3분의 1 미만이었다. 

경제학자들은 생애주기가설에서 벗어나는 고령층의 행태를 여러 가지로 설명하고 있다. 

첫째, 주택과 금융자산은 다르다는 것이다. 금융자산은 언제라도 처분해서 소비를 충당하는 데 쓸 수 있지만, 많은 사람들은 집을 처분해서 그렇게 하는 것을 꺼린다. 마치 두 가지 자산이 심리적으로 서로 다른 계정에 들어가 있는 듯 대한다는 것이다. 살던 곳에서, 살던 집에서 가능한 한 마지막까지 있고 싶은 희망 때문일 것이다. 

둘째, 자녀들에게 상속을 해주고 싶은 바람이 있어서 집을 처분하지 않으려 하는 사람도 많다. 죽을 때 모든 자산가치가 0이 되는 것이 가장 합리적이라는 생애주기가설이 설명하지 못하는 동기이다. 

이런 가설에 대한 가장 최근의 연구가 건국대 박사학위 논문으로 나왔는데, 이 논문은 국민노후보장 패널의 자료로 중고령가구의 주택 다운사이징 요인을 분석하였다. 가구의 소득수준과 소득변화가 다운사이징에 통계적으로 유의한 영향을 주지 않는 반면 배우자 사망과 같은 인구학적 변수는 유의한 것으로 나타났다. 

또 금융자산이 많을수록 다운사이징 확률이 낮아서 유동성 부족에 직면할 경우 주택보다는 금융자산을 우선 활용하는 것으로 보인다. 

결국 인구 고령화는 항상 거기에 있지만 크게 신경 쓸 필요 없는 주택시장의 배후 소음 정도로 생각하면 되는 문제이다.",output_2_O_1640988.csv,뉴스,매일경제,101302,20140124,13,29,412
1641028,29564,[매경데스크] 미친 전세금 잡으려면…,"전세금이 미쳤다. 작년 한 해 내내 서민들을 괴롭히더니 새해 들어서도 오름세가 꺾이질 않고 있다. 사상 유례없는 74주 연속 상승 행진이다. 강남 아파트 전세금은 강북 지역 같은 평형 두 채 집값에 육박할 지경이다. 전세금이 치솟자 강남에서 강북으로, 수도권 외곽으로 돈에 맞춰 전셋집을 옮겨가다 보니 전세난이 전국으로 확산되고 있다. 

젊은 세대 상당수가 집값이 너무 올라 내 집 마련을 포기했는데 이제 전셋집 구하기마저 어려운 지경이다. 서민들은 전세 만기가 다가오는 게 두렵다. 2년 내내 허리를 졸라매도 오른 전세금을 감당할 수가 없다. 중산층도 어렵기는 마찬가지다. 2년 새 몇 천만 원, 몇 억 원씩 오른 전세금에 숨이 턱 막힌다. 그러다 보니 은행빚만 늘어 간다. 전세금을 올려줄 돈이 없어 상승분을 월세로 메우다 보니 살림살이는 더 팍팍해져 간다. 

미친 전세금이 한국 경제 발목을 잡고 있다. 경기가 살아나더라도 전세금을 잡지 못하면 체감경기는 구렁텅이에서 헤어날 수가 없다. 실제 전세금 부담 때문에 소비심리가 위축돼 내수 회복을 더디게 하고 있다. 집값이 오르면 안 사면 그만이겠지만 전세금 급등은 서민 삶의 터전을 붕괴시킬 수 있다. 전세금을 더 이상 방치했다간 돌이킬 수 없는 결과를 초래할 수도 있다는 얘기다. 

그런데 문제는 당장 전세금을 잡을 수 있는 대책이 마땅찮다는 점이다. 전문가 사이에선 '백약이 무효'라는 얘기까지 나온다. 정부 부동산대책이 매매 활성화에 치중돼 있어 전세를 잡지 못했다는 지적도 있다. 전세 자금 마련에 어려움을 겪는 서민들을 도와주려고 저금리 전세대출을 늘리니 오히려 전세금 상승세에 기름을 부은 모양새다. 그렇다고 집을 지어 전셋집 공급을 늘리는 데는 시간이 많이 걸린다. 

하지만 모든 병에는 원인이 있게 마련이다. 왜 아픈지 원인을 제대로 밝혀내고 병증에 적합한 처방을 찾아낸다면 아무리 중병이라도 치료가 가능하다. 

전세금이 천정부지로 치솟은 원인부터 다시 한 번 짚어보자. 가장 큰 원인은 집값 하락을 걱정해서 집을 사지 않고 전세를 살겠다는 사람이 늘었기 때문이다. 집을 안 사니 전세 공급은 줄어들고 수요만 급증했다. 

올해는 서울 수도권 입주아파트 물량이 작년보다 늘었다. 입주물량이 많으면 전세난이 완화되는데 올해는 그렇지 않다. 강남 재건축 사업 추진에 따른 이주 수요가 입주물량 증가보다 많아 전세 부족 현상이 지속될 것이란 전망이 우세하다. 

집주인들이 저금리 때문에 월세를 선호하는 것도 전세금 상승 요인이다. 월세로 바꾸든지, 아니면 전세금을 올려 달라고 요구하기 때문이다. 

전세 수요를 줄이는 가장 효과적인 방법은 집값 하락 걱정 때문에 전세로 돌아선 실수요자들이 집을 살 수 있는 환경을 만드는 것이다. 이미 전세금이 집값 대비 90%를 넘어선 가구가 7만가구에 달할 만큼 전세금 급등에 대한 부담이 임계치에 이르고 있다. 따라서 집값 하락에 대한 두려움이 완화되고 내 집을 마련하려는 실수요자들을 위한 정책이 뒷받침된다면 전세 세입자들이 내 집 마련에 나설 가능성이 높다. 

전세 공급을 늘리자면 임대주택을 더 많이 짓거나 다주택자가 집을 더 사서 전세를 놓도록 해야 한다. 임대주택 건설에는 시간이 걸리니 다주택자들이 집을 더 살 수 있도록 확실한 인센티브를 줘야 전세 공급 확대 효과가 나온다. 요즘 전세난은 전세에서 월세 시대로 전환되는 와중에 나타난 과도기적 현상이라고 볼 수도 있다. 세입자들이 전세금을 더 올려주면서까지 전세를 고집하지 않도록 월세에 대한 소득공제를 확대하는 등 세제 혜택을 늘릴 필요가 있다. 

설 연휴가 지나면 이사철이 다가온다. 어쩌면 미친 전세금을 잡는 데는 과도한 시장 개입보다 사람들이 마음 놓고 집을 살 수 있는 분위기를 만드는 것이 더 효과적일 수 있다는 생각이 든다.",output_2_O_1641028.csv,뉴스,매일경제,101303,20140124,11,41,463
1641030,29562,[사설] 한국 경제 2년째 아시아 최하위권 2%대 성장,"지난해 우리나라 국내총생산(GDP) 성장률은 2.8%에 그쳤다. 2012년(2%)에 이어 2년 내리 3%대 후반인 잠재성장률에 크게 못 미쳤고 아시아 주요국 중 최하위권인 저조한 성적표다. 한국 경제가 기본 실력조차 발휘할 수 없을 만큼 활력을 잃고 있다는 뜻이다. 

대외의존형 경제구조의 취약성도 고스란히 드러났다. GDP 대비 절반을 차지하는 민간소비는 작년 1.9% 늘어나는 데 그쳤고 미래 성장 활력을 가늠할 수 있는 설비투자는 2012년 1.9% 줄어든 데 이어 작년에도 1.5% 감소했다. 수출이 2년 연속 4%를 넘는 성장세를 이어가지 않았다면 한국 경제는 맥없이 주저앉고 말았을 것이다. 

정부는 올해 3.9% 성장을 기대하고 한국은행도 3.8% 성장을 예상하고 있다. 3년 만에 잠재성장률 수준을 회복하리라는 전망인데 숱한 복병이 도사리고 있어 이 역시 자신할 수 없다. 우리의 최대 수출시장인 중국이 감속 성장을 하고 동남아 신흥국들이 정정 불안과 자본 유출로 위기를 맞으면 한국 경제에도 충격파가 미칠 것이다. 국제통화기금(IMF)도 지적했듯이 올해 저성장에서 탈출할 모멘텀을 확실히 살려가려면 내수 활력 제고가 필수적이다. 

작년에는 민간소비 증가가 국내총소득(GDI) 증가율(4.6%)의 절반에도 못 미쳤는데 올해에는 가계가 자신감을 갖고 지갑을 열 수 있도록 해야 한다. 주택시장 정상화를 소비→투자→일자리→소득 증가로 이어지는 선순환을 일으킬 티핑 포인트(tipping point)로 삼아야 한다. 또한 보다 과감한 규제 개혁으로 서비스산업을 키워 고용률이 40% 아래로 떨어진 청년층에게 일자리를 만들어 주어야 한다. 작년 4분기 설비투자가 기계류와 운송장비를 중심으로 전기 대비 6.4% 늘어난 것은 그나마 희망적이다. 작년에 정부가 경기 회복을 위한 마중물을 부었다면 올해에는 기업이 투자를 늘리며 펌프질을 해주어야 한다. 경제혁신 3개년 계획은 무엇보다 투자 증가와 서비스 활력을 위한 규제 혁파에 초점을 맞춰야 한다.",output_2_O_1641030.csv,뉴스,매일경제,101301,20140124,4,16,222
1641031,29561,[사설] 공공노조 국민과 정부를 敵으로 삼으려는가,"공공기관 노조가 정부의 정상화 대책에 집단적으로 반발하고 나섰다. 양대노총 ’공공부문 노조 공동대책위원회(공대위)’는 어제 정상화 대책 추진을 위한 공공기관별 노사 협의와 단체교섭, 경영평가를 전면 거부한다고 밝혔다. 공공기관 억대 연봉자는 민간기업에 비해 3배를 넘고 부채는 493조원에 달하는데도 회사가 망해도 고용은 의무화해 놓은 ’철밥통’을 지키겠다는 것이다. 공대위에는 정부가 ’중점 관리대상’으로 선정한 38개 공공기관 노조가 참여하고 있다. 

이들은 공공기관 부채 원인이 정부가 재정사업을 공공기관에 전가하고 공공요금을 원가 이하로 책정한 탓이라고 주장했다. 일리가 없는 것은 아니다. 그러나 수천만 원대 학자금, 퇴직금, 고용세습 등 방만경영은 민간기업엔 없다. 그동안 누려온 과도한 혜택을 내려놓지 않겠다며 집단행동에 나서는 것은 용납할 수 없다. 공공기관 정상화 대책을 ’민영화 프레임’으로 몰고가는 것도 철도노조나 의료노조가 보여준 행태와 똑같다. 

특히 정부의 경영평가를 받지 않겠다고 나선 것은 정부와 국민을 적(敵)으로 보겠다는 선전포고다. 경영평가는 공공기관이 사업 공과를 국민에게 검증받는 과정으로 지난 30년간 지속해 온 법률에 명시된 제도다. 어제 경영평가를 거부한 공공기관 중 3분의 1은 한 해 수익으로 이자도 감당하지 못하고 있는 상황이다. 부채과다 공공기관 12곳 기관장 평균연봉은 2억1980만원이며 억대 연봉자는 2390명에 달했다. 민간기업이라면 다 망했을 것이다. 

일부 공공기관은 단체협약에 ’어떤 이유로도 임금을 깎지 않는다’거나 ’회사가 문을 닫아도 전 직원 고용을 보장한다’는 조항을 담고 있다. 노조와 타협해온 ’낙하산 사장’의 무책임한 계약이 빚은 참사다. 정부는 공공기관 노조 측 반발에 한 치도 밀리지 말고 강도 높게 개혁을 밀어붙여야 할 것이다. 공대위는 대국민 선전전을 벌이고 국제노동기구(ILO)에 제소하겠다는데, 국민을 바보로 아는가.",output_2_O_1641031.csv,뉴스,매일경제,101301,20140124,4,18,231
1642309,29558,"[기고] 영리병원, 의료 선진화 앞당긴다","지난해 말 정부가 발표한 '보건의료 투자 활성화 대책'이 일단 매듭을 지어가는 모양새다. 의사단체 파업 예고 등 많은 갈등 끝에 정부와 의협이 의료발전협의회를 구성해 논의하기로 했기 때문이다. 그러나 정부와 의협 간 협의는 문제의 끝이 아니라 시작일 뿐이다. 

이번 사태를 촉발한 주요 원인이 된 의료법인 자회사 허용이나 원격의료 문제는 그동안 국민의 건강기본권을 보장하기 위한 수단으로만 인식된 의료산업을 경제 성장 동력으로 삼기 위한 초보적 과정이다. 오히려 의료기관이 진료를 소홀히 하고 부업에 집중하는 현상을 부추길 가능성이 높다. 자회사가 커지게 되면 오히려 의료법인이 의료자회사의 자회사화하는 비정상적 결과를 낳을 수 있다. 이는 장기적으로 국민의 의료접근권을 축소시키고, 의료산업 경쟁력을 저하시킬 것이다. 

지속적인 성장을 유지하기 위해서는 의료 분야에 대한 적극적이고 직접적인 외부 투자가 필요하다. 따라서 정부는 국민에게 의료 영리화 필요성을 이해시키고 의료산업 경쟁력을 키워가야 할 때라고 본다. 이제는 장기적인 의료산업 육성을 위한 실천적 방안을 집중적으로 모색해야 한다. 

우선 의료산업 발전을 위해 그동안 많은 논란의 중심에 있었던 영리 의료법인을 허용해야 하고 의료법인들이 선택에 따라 정상적인 성장이 가능하게 해야 한다. 의료 자회사는 이미 직간접적으로 허용되고 있는 것으로서, 의료서비스 활성화에 크게 기여할 수 없다. 오히려 의료법인이 투자를 유치하여 의료기술 발전에 기여하게 하도록 하는 것이 필요하다. 

영리 의료법인 허용은 의료산업의 균형적 발전에 기여할 수 있다. 의료법인에 대해 외부 투자를 허용하면 보다 경쟁적으로 전문 의료기관이 늘어나게 된다. 따라서 중소 병원도 투자를 통해 성장할 수 있고 의원들도 의료법인을 설립해 시장에서 서로 경쟁할 수 있는 기회를 얻게 된다. 

영리 병원은 단순히 외부 자금을 유치하는 데 그치는 것이 아니라 수입을 낳는 과정에서 세금을 내야 한다. 따라서 영리행위를 통해 이익만 챙기는 것이 아니라 세금을 납부해 사회적 환원을 하는 순기능도 있다. 

둘째, 점진적으로 원격의료의 보험화를 시도해야 한다. 원격의료와 의료에 대한 전자정보기술 활용은 의료서비스 활성화에 획기적인 기회를 제공할 것이다. 영리성을 가진 의료기관은 신기술을 개발하는 산실이 될 수 있다. 문제는 기존 의료사회가 원격의료에 익숙하지 않다는 데 있다. 이에 기존 의료사회는 강하게 저항할 수밖에 없다. 그리고 의료사회는 매우 독점적인 집단임을 감안할 때 자신들 진료 독점력이 줄어들지 않을까 염려할 수도 있다. 따라서 의료인 교육과정에 원격의료 활용을 적극적으로 포함시키고 이에 대한 연구가 의료인들을 중심으로 활발해져야 한다. 

셋째, 영리병원을 통해 환자들이 개선된 서비스를 받을 수 있도록 유도해야 한다. 국민건강보험에서 기존 의료기관 강제지정제도를 유지하면서 기존 보험급여체계를 단순화하고 급여 범위를 확대해야 한다. 단, 영리 병원의 비급여 서비스에 대해서는 세금을 부과한다. 이는 영리 병원과 비영리 병원들이 서로 경쟁하도록 하는 체계를 의미한다. 

공공보험에서 보장하는 것보다 더 수준 높은 의료서비스를 받으려면 더 많은 비용을 지불하도록 하는 게 맞다. 그러나 의료비를 억제하기 위해 이러한 수요를 통제할 수 있는 수단이 있어야 하고 서비스 공급자에 대해서는 과세를 할 수 있는 영리 병원이 필요하다. 아울러 정부는 무조건적인 의료 보장보다는 오히려 모든 국민에게 건강한 삶을 보장하도록 다각적인 정책적 노력을 경주하는 것이 시급하다.",output_2_O_1642309.csv,뉴스,매일경제,101302,20140125,9,32,408
2648158,24587,[사설] 가뭄 해소 4대강 지류·지천 정비 이제라도 서둘러라,"정부·여당이 가뭄 해소를 위해 현 정부 출범 이후 중단됐던 4대강 지류·지천 정비 사업을 재개하기로 했다. 최악의 가뭄으로 일부에서 제한급수까지 하는 상황이 되자 뒤늦게 4대강에서 가뭄 지역까지 물을 끌어오는 사업을 추진하겠다는 것이다. 매번 소 잃고 외양간 고치는 꼴이니 한심하고 답답하다. 

이명박정부 시절 논란 끝에 완공한 4대강 사업으로 16개 보(洑)에 모아둔 물이 11억7000만t에 달하지만 정작 이 물을 본류에서 멀리 떨어진 가뭄 지역에 보낼 방법이 없는 상태다. 박근혜정부 들어 국회가 지류·지천 정비를 위한 후속 예산을 매년 전액 삭감한 탓이다. 그 결과 4대강의 가뭄·홍수 예방 효과는 본류 주변에만 국한됐다. 4대강 반대론자들은 지류·지천 정비를 4대강 사업과 유사한 보·준설 작업으로 호도하고 있으나 이는 사실과 다르다. 4대강 물을 지류·지천으로 거꾸로 보내기 위한 수로 정비·연결, 오·폐수 처리 등이 오히려 핵심이다. 처음부터 4대강 사업은 4대강 외에 주변 18개 강과 지류 3000개까지 포함하는 개념이었는데 후속 사업을 방치하는 바람에 사상 최악의 가뭄 피해를 자초한 셈이 됐다. 경기, 강원 영동, 중부 내륙 등의 일부 지방자치단체들은 자체 예산을 투입해 4대강 물을 끌어다 쓰기 위한 양수장 및 송수관로 건설에 나서고 있으나 가뭄이 극심한 지역일수록 4대강에서 더 멀고, 사업비도 더 많이 들어 지자체가 감당하기 어려운 수준이다. 그나마 4대강 사업이 완료된 덕분에 지류·지천 정비가 한결 수월해지고 사업비도 대폭 줄어들었다고 하니 중앙정부가 종합계획을 세워 적극 나서야 한다. 

가뭄이 극심한 20개 지역에 1차적으로 4대강 물을 공급하기 위한 시설 비용이 1조원 정도라고 한다. 전 세계적인 기후변화로 매년 최악의 가뭄과 홍수, 태풍이 반복되고 수십조 원의 복구 비용이 투입되고 있다. 우리나라는 연간 강우량이 1284㎜로 세계 평균의 1.6배다. 하지만 70%가 7월과 8월에 집중되는 바람에 불과 23%만 활용하는 처지다. 특히 농업용수 공급은 여전히 천수답 수준을 벗어나지 못하고 있다. 정부와 정치권은 4대강 활용이야말로 가장 실용적이고 효과적인 가뭄 대책임을 명심하고 지류·지천 정비 사업에 적극 힘을 보태기 바란다.",output_2_O_2648158.csv,뉴스,매일경제,101301,20151015,3,17,262
2652093,24567,[사설] 청년 해외 취업 도운 글로벌 韓商의 열정,"지난 13~15일 재외동포재단과 매일경제신문 주관으로 세계 40개국 한상 1000여 명이 참여한 가운데 열린 세계한상대회가 국내 청년 채용의 장(場)이 됐다. 한상 기업들은 공개 채용 오디션인 '한상&청년 고 투게더(Go together)' 행사 등을 통해 청년 60여 명을 채용했다. 이 행사에서 프레젠테이션에 나선 청년 21명은 유창한 영어로 재능과 열정을 뽐냈다. 

이번 한상대회가 보여주었듯이 청년들은 해외 취업에 관심이 많다. 사상 최악의 청년취업난에 '헬조선'이라는 자조까지 나오는 국내보다는 오히려 인도, 인도네시아, 베트남 같은 신흥시장에서 기회를 잡고 글로벌 인재로 성장하고 싶어한다. 

정부도 이들을 지원하고 있지만 아직은 부족하다. 이명박정부는 '글로벌 청년 리더 10만 양성계획', 박근혜정부는 '케이무브(K-Move)' 사업을 통해 청년들의 해외 취업을 지원해 왔으나 현지 정보 부족 탓에 양질의 일자리를 제공하지 못하고 있다. 작년 1~8월 케이무브 사업을 통해 해외에 취업한 청년들의 평균 연봉은 2000만원에 못 미치고, 영세 사업장에서 단순 노무를 맡아 인턴으로 일하는 경우도 꽤 있었다. 

한상의 글로벌 네트워크는 이러한 문제를 해결하고 청년의 해외 일자리를 창출하는 돌파구가 될 수 있다. 고 투게더 같은 채용 오디션을 정기적으로 확대 실시하면 우수한 청년들이 한상 기업에 더 많이 채용될 수 있다. 차후에는 청년들이 한상 기업에서 익힌 경험과 지식을 바탕으로 현지에서 창업하고 국내 청년들을 불러들이는 선순환 구조도 가능하다. 이를 위해서는 한상 기업과 국내 청년들이 지속적으로 소통하는 창구가 활성화돼야 한다. 한상대회는 그 역할을 훌륭하게 수행할 수 있음을 보여주었다.",output_2_O_2652093.csv,뉴스,매일경제,101301,20151017,4,13,192
2679592,24454,[사설] 韓·日·中 정상 이견 있었지만 만나길 잘했다,"박근혜 대통령과 아베 신조 일본 총리, 리커창 중국 총리가 제6차 한·일·중 3국 정상회의를 열고 동북아 평화협력을 위해 공동 노력하기로 다짐했다. 2012년 5월 이후 과거사와 영토분쟁 등으로 3년6개월 동안 중단됐던 3국 정상회의를 다시 정례화하고 한국에 설치돼 있는 한·중·일 3국 협력사무국 역할도 강화하기로 했는데 옳은 일이다. 

남중국해를 둘러싸고 미국과 중국 사이 긴장이 높아지고 있는 가운데 박 대통령 주도로 복원된 한·중·일 정상회의는 만남 그 자체만으로도 동아시아 평화와 안정, 경제협력, 재난대책 강화라는 당초 목적에 기여한다. 북한 핵문제 해결을 위한 6자회담을 조속히 재개하기로 하고, 한·중·일 자유무역협정(FTA) 협상을 가속화하기로 했으며, '한·일·중 비즈니스 서밋'을 통한 경제협력도 강화했는데 이 모두 만남을 재개했기에 가능해진 일들이다. 

이제 한·중·일이 보다 협력적인 미래로 나아가려면 과거사에 대한 아베 총리의 태도 변화가 이뤄져야 한다. 박 대통령은 정상회의 직후 ""역사를 직시하고 미래를 지향해야 한다""는 사실을 강조했고, 리커창 총리도 ""역사 문제 공동인식은 상호신뢰의 전제조건""이라고 밝혔다. 아베 총리는 2012년 말 총리 취임 이후에는 처음으로 한국을 방문해 한·일·중 정상회의를 가진 데 이어 2일에는 한·일 정상회담을 갖는다. 그의 과거사·영토 도발이 그동안 동북아 협력의 걸림돌이었다는 점에서 아베 총리 책임은 아무리 강조해도 지나침이 없다. 위안부 문제를 비롯한 과거사·영토 문제에서 일본의 적극적인 태도변화를 촉구한다. 

박 대통령은 한·일·중 정상회의를 계기로 이뤄진 리커창 총리와의 양자회담에서 한국 '유라시아 이니셔티브'와 중국 '일대일로(一帶一路)' 전략을 연계해서 협력하기로 하는 등 눈에 띄는 결실들을 거뒀다. 나아가 한국은 이번 3국 정상회담을 주도적으로 복원하며 동북아 외교를 미래지향적으로 이끄는 데 기여했다. 앞으로 미국과 일본 중심의 환태평양경제동반자협정(TPP), 중국 중심의 역내포괄적경제동반자협정(RCEP), 한·중·일 자유무역협정(FTA) 등의 협상에서도 적극적이고 주도적인 역할을 계속해 나가야 할 것이다.",output_2_O_2679592.csv,뉴스,매일경제,101301,20151102,4,12,227
2687106,24410,[기자 24시] `남중국해` 서 드러난 中 패권주의,"""결국 중국은 양자 간 협상을 모색하지 않을까요?""

세계의 화약고가 되어 가고 있는 남중국해 분쟁이 국제중재재판소로 간 날 권위 있는 국내 한 국제법 전문가는 이렇게 말했다. '중국이 재판에 제대로 응하겠느냐'는 질문에. 대한 답이었다. 사실 이 같은 견해는 글로벌 문제를 해결하기 위해 만든 국제사회의 틀이 세계 패권국들에 의해 무시되는 경우가 그동안 허다했기 때문에 별 새삼스러운 것은 아니다. 중국이 야기한 남중국해 문제도 이 연장선상에서 볼 수 있기 때문이다. 

중국과 아세안 관련 당사국들이 남중국해를 놓고 다툼을 벌인 역사는 꽤 오래됐다. 그 과정에서 양측은 '2002년 남중국해 당사국 행동 규약'이라는 것을 만들었다. 골자는 남중국해 문제를 서로 간 신뢰구축과 대화를 통해 해결하자는 것이었다. 지금처럼 일방의 힘 과시가 아닌 '다자의 틀' 속에서 대화를 통해 풀어 보려는 시도였다. 

그런데 중국은 어느 순간 남중국해에 군대를 동원해 인공섬을 건설하더니, 이 국제 공식문서를 헌신짝처럼 던져 버렸다. 최근까지도 중국이 이 문서를 존중해야 한다는 목소리가 나왔지만 중국은 계속 남중국해에서 힘을 과시했다. 이런 상황에서 관련 당사국인 필리핀이 국제중재재판소에 제소한 것은 그나마 기댈 수 있는 공식 통로였기 때문이다. 

하지만 국제사회 다자간 협상의 산물인 국제중재재판소를 통한 해법은 벌써부터 김이 빠지고 있다. 중국이 재판 참여 거부 의사를 분명히 하고 있기 때문이다. 중국이 재판에 참여하지 않는다면 중재재판이 제대로 진행되지 않을 가능성이 높고, 설령 재판소가 어떤 결정을 내리더라도 이미 패권국 반열에 오른 중국은 개의치 않을 공산도 크다. 

역사상 패권 지위를 유지하고 있는 강대국을 '그 국가의 영향력이 발휘할 때' 다자의 틀 속에 가둬서 성공한 사례는 별로 없다는 점에서 국제중재재판을 통해 남중국해 해법을 도출하기는 어려운 것이 현실이다. 그나마 중국이 대화 의지를 보이고 있는 데서 평화적 해법 모색에 대한 기대가 있긴 하지만 상황이 좀 묘하다. 자꾸 '여럿'보다는 '둘' 만이 대화를 하겠다고 나서기 때문이다. 중국이 '다자'보다 '양자'를 내세우는 데는 여러 이유가 있겠지만 아무래도 힘으로 약소국을 눌러 보겠다는 의지의 표명으로 볼 수밖에 없다. 물론 달콤한 당근들은 많이 제시하겠지만 말이다.",output_2_O_2687106.csv,뉴스,매일경제,101304,20151106,6,21,274
