제목|포스터|개봉일
로비|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89519/89519_320.jpg|"2025.04.02 
                                
D-1"
승부|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89485/89485_320.jpg|2025.03.26
세븐틴 [라잇 히어] 월드 투어 인 시네마|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89544/89544_320.jpg|"2025.04.02 
                                
D-1"
미스터 로봇|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89417/89417_320.jpg|"2025.04.04 
                                
D-3"
공포특급|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89530/89530_320.jpg|"2025.04.02 
                                
D-1"
스윙걸즈|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89499/89499_320.jpg|"2025.03.26 
                                재"
아마추어|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89546/89546_320.jpg|"2025.04.09 
                                
D-8"
드라이브 인 타이페이|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89451/89451_320.jpg|"2025.04.11 
                                
D-10"
베러맨|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89517/89517_320.jpg|"2025.04.09 
                                
D-8"
플로우|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89450/89450_320.jpg|2025.03.19
3일|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89461/89461_320.jpg|2025.03.19
콘클라베|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89425/89425_320.jpg|2025.03.05
화이트 버드|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89458/89458_320.jpg|2025.03.12
미키 17|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89058/89058_320.jpg|2025.02.28
마음에 시 한 편씩 내려놓는 이야기|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89572/89572_320.jpg|2025.04.01
야당|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89454/89454_320.jpg|"2025.04.16 
                                
D-15"
예언자|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89501/89501_320.jpg|"2025.04.02 
                                
D-1"
끝, 새로운 시작|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89496/89496_320.jpg|2025.03.26
작고 느린 순간들이 마음을 채우는 이야기|https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89573/89573_320.jpg|2025.04.01
